execution_id,classification_time,load_time,reduce_time,transform_time,reduce_on,classifier,reducer,transforms,number runs,reducer_datasets,train_datasets,test_datasets,sensors used,scaler,umap components,accuracy (mean),accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score micro (mean),f1-score micro (std),f1-score weighted (mean),f1-score weighted (std)
001203,0.47649049758911133,3.5495102405548096,40.223424196243286,0.02044081687927246,all,knn-5,umap-4-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z",no_scaler,4,0.5130434782608696,0.0,0.5113206176724965,0.0,0.5130434782608696,0.0,0.5113206176724965,0.0
003968,9.093905925750732,4.294361114501953,59.20199179649353,0.025332212448120117,all,randomforest-100,umap-10-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"gyro-x, gyro-y, gyro-z",minmax_scaler,10,0.6759420289855071,0.005840417878147796,0.6771138419482102,0.00553902255592032,0.6759420289855071,0.005840417878147796,0.6771138419482102,0.005539022555920285
005579,1.0327098369598389,5.3292882442474365,245.98767471313477,0.025420665740966797,all,knn-5,umap-180-all,no_transform.0,5,"uci.train, uci.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z",minmax_scaler,180,0.5710144927536231,0.0,0.5795913298602503,0.0,0.5710144927536231,0.0,0.5795913298602503,0.0
000181,0.2064518928527832,4.235249042510986,29.686514377593994,0.016798973083496094,all,knn-5,umap-2-all,no_transform.0,5,"kuhar.train, kuhar.validation","kuhar.train, kuhar.validation",kuhar.test,"gyro-x, gyro-y, gyro-z",std_scaler,2,0.5555555555555556,0.0,0.5568643997409526,0.0,0.5555555555555556,0.0,0.5568643997409526,0.0
000218,0.2217566967010498,5.415192604064941,58.3643696308136,0.06895613670349121,all,knn-5,umap-2-all,no_transform.0,5,"kuhar.train, kuhar.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",minmax_scaler,2,0.3927536231884058,0.0,0.39030354648368054,0.0,0.3927536231884058,0.0,0.39030354648368054,0.0
003558,4.594589948654175,4.64800238609314,147.87087225914001,0.043900251388549805,all,svm,umap-9-all,no_transform.0,5,"motionsense.train, motionsense.validation","uci.train, uci.validation",uci.test,"gyro-x, gyro-y, gyro-z",no_scaler,9,0.5304347826086957,0.0,0.47050037636301506,0.0,0.5304347826086957,0.0,0.47050037636301506,5.551115123125783e-17
002221,6.709483861923218,4.355023622512817,146.64304637908936,1.8516547679901123,all,randomforest-100,umap-6-all,with_fft_all.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,6,0.7625235404896421,0.0038778267950986757,0.7610710802450698,0.003546709539402938,0.7625235404896421,0.003877826795098688,0.7610710802450699,0.003546709539402961
004349,0.5001463890075684,4.213036060333252,78.1965606212616,0.6526000499725342,all,knn-5,umap-10-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","uci.train, uci.validation",uci.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",minmax_scaler,10,0.6753623188405797,0.0,0.6709881733891534,0.0,0.6753623188405797,0.0,0.6709881733891534,0.0
004727,4.843837738037109,4.11141300201416,126.16435432434082,0.8752353191375732,all,svm,umap-15-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",minmax_scaler,15,0.7222222222222222,0.0,0.7186639566714893,0.0,0.7222222222222222,0.0,0.7186639566714892,0.0
002608,0.41976475715637207,3.8957011699676514,89.09984612464905,0.022007465362548828,all,knn-5,umap-7-all,no_transform.0,5,"uci.train, uci.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z",std_scaler,7,0.5277777777777778,0.0,0.5177807573282801,0.0,0.5277777777777778,0.0,0.51778075732828,0.0
