Dataset: KuHar 	 Iteration: 82 	 Time of execution: 40 minutes and 11 seconds
Dataset: KuHar 	 Iteration: 83 	 Time of execution: 40 minutes and 55 seconds
Dataset: KuHar 	 Iteration: 84 	 Time of execution: 41 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 85 	 Time of execution: 42 minutes and 24 seconds
Dataset: KuHar 	 Iteration: 86 	 Time of execution: 43 minutes and 9 seconds
Dataset: KuHar 	 Iteration: 87 	 Time of execution: 43 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 88 	 Time of execution: 44 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 89 	 Time of execution: 45 minutes and 24 seconds
Dataset: KuHar 	 Iteration: 90 	 Time of execution: 46 minutes and 10 seconds
Dataset: KuHar 	 Iteration: 91 	 Time of execution: 46 minutes and 57 seconds
Dataset: KuHar 	 Iteration: 92 	 Time of execution: 47 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 93 	 Time of execution: 48 minutes and 31 seconds
Dataset: KuHar 	 Iteration: 94 	 Time of execution: 49 minutes and 18 seconds
Dataset: KuHar 	 Iteration: 95 	 Time of execution: 50 minutes and 5 seconds
Dataset: KuHar 	 Iteration: 96 	 Time of execution: 50 minutes and 51 seconds
Dataset: KuHar 	 Iteration: 97 	 Time of execution: 51 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 98 	 Time of execution: 52 minutes and 24 seconds
Dataset: KuHar 	 Iteration: 99 	 Time of execution: 53 minutes and 10 seconds
Dataset: KuHar 	 Iteration: 100 	 Time of execution: 53 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 101 	 Time of execution: 54 minutes and 48 seconds
Dataset: KuHar 	 Iteration: 102 	 Time of execution: 55 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 103 	 Time of execution: 56 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 104 	 Time of execution: 57 minutes and 16 seconds
Dataset: KuHar 	 Iteration: 105 	 Time of execution: 58 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 106 	 Time of execution: 58 minutes and 57 seconds
Dataset: KuHar 	 Iteration: 107 	 Time of execution: 59 minutes and 47 seconds
Dataset: KuHar 	 Iteration: 108 	 Time of execution: 60 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 109 	 Time of execution: 61 minutes and 30 seconds
Dataset: KuHar 	 Iteration: 110 	 Time of execution: 62 minutes and 22 seconds
Dataset: KuHar 	 Iteration: 111 	 Time of execution: 63 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 112 	 Time of execution: 64 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 113 	 Time of execution: 64 minutes and 58 seconds
Dataset: KuHar 	 Iteration: 114 	 Time of execution: 65 minutes and 51 seconds
Dataset: KuHar 	 Iteration: 115 	 Time of execution: 66 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 116 	 Time of execution: 67 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 117 	 Time of execution: 68 minutes and 32 seconds
Dataset: KuHar 	 Iteration: 118 	 Time of execution: 69 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 119 	 Time of execution: 70 minutes and 20 seconds
Dataset: KuHar 	 Iteration: 120 	 Time of execution: 71 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 121 	 Time of execution: 72 minutes and 11 seconds
Dataset: KuHar 	 Iteration: 122 	 Time of execution: 73 minutes and 8 seconds
Dataset: KuHar 	 Iteration: 123 	 Time of execution: 74 minutes and 5 seconds
Dataset: KuHar 	 Iteration: 124 	 Time of execution: 75 minutes and 2 seconds
Dataset: KuHar 	 Iteration: 125 	 Time of execution: 76 minutes and 0 seconds
Dataset: KuHar 	 Iteration: 126 	 Time of execution: 76 minutes and 58 seconds
Dataset: KuHar 	 Iteration: 127 	 Time of execution: 77 minutes and 56 seconds
Dataset: KuHar 	 Iteration: 128 	 Time of execution: 78 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 129 	 Time of execution: 79 minutes and 49 seconds
Dataset: KuHar 	 Iteration: 130 	 Time of execution: 80 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 131 	 Time of execution: 81 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 132 	 Time of execution: 82 minutes and 42 seconds
Dataset: KuHar 	 Iteration: 133 	 Time of execution: 83 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 134 	 Time of execution: 84 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 135 	 Time of execution: 85 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 136 	 Time of execution: 86 minutes and 36 seconds
Dataset: KuHar 	 Iteration: 137 	 Time of execution: 87 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 138 	 Time of execution: 88 minutes and 36 seconds
Dataset: KuHar 	 Iteration: 139 	 Time of execution: 89 minutes and 35 seconds
Dataset: KuHar 	 Iteration: 140 	 Time of execution: 90 minutes and 35 seconds
Dataset: KuHar 	 Iteration: 141 	 Time of execution: 91 minutes and 35 seconds
Dataset: KuHar 	 Iteration: 142 	 Time of execution: 92 minutes and 36 seconds
Dataset: KuHar 	 Iteration: 143 	 Time of execution: 93 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 144 	 Time of execution: 94 minutes and 41 seconds
Dataset: KuHar 	 Iteration: 145 	 Time of execution: 95 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 146 	 Time of execution: 96 minutes and 48 seconds
Dataset: KuHar 	 Iteration: 147 	 Time of execution: 97 minutes and 51 seconds
Dataset: KuHar 	 Iteration: 148 	 Time of execution: 98 minutes and 55 seconds
Dataset: KuHar 	 Iteration: 149 	 Time of execution: 99 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 150 	 Time of execution: 101 minutes and 3 seconds
Dataset: KuHar 	 Iteration: 151 	 Time of execution: 102 minutes and 9 seconds
Dataset: KuHar 	 Iteration: 152 	 Time of execution: 103 minutes and 14 seconds
Dataset: KuHar 	 Iteration: 153 	 Time of execution: 104 minutes and 19 seconds
Dataset: KuHar 	 Iteration: 154 	 Time of execution: 105 minutes and 25 seconds
Dataset: KuHar 	 Iteration: 155 	 Time of execution: 106 minutes and 32 seconds
Dataset: KuHar 	 Iteration: 156 	 Time of execution: 107 minutes and 37 seconds
Dataset: KuHar 	 Iteration: 157 	 Time of execution: 108 minutes and 44 seconds
Dataset: KuHar 	 Iteration: 158 	 Time of execution: 109 minutes and 50 seconds
Dataset: KuHar 	 Iteration: 159 	 Time of execution: 110 minutes and 58 seconds
Dataset: KuHar 	 Iteration: 160 	 Time of execution: 112 minutes and 3 seconds
Dataset: KuHar 	 Iteration: 161 	 Time of execution: 113 minutes and 8 seconds
Dataset: KuHar 	 Iteration: 162 	 Time of execution: 114 minutes and 16 seconds
Dataset: KuHar 	 Iteration: 163 	 Time of execution: 115 minutes and 24 seconds
Dataset: KuHar 	 Iteration: 164 	 Time of execution: 116 minutes and 32 seconds
Dataset: KuHar 	 Iteration: 165 	 Time of execution: 117 minutes and 39 seconds
Dataset: KuHar 	 Iteration: 166 	 Time of execution: 118 minutes and 46 seconds
Dataset: KuHar 	 Iteration: 167 	 Time of execution: 119 minutes and 55 seconds
