Dataset: KuHar 	 Iteration: 76 	 Time of execution: 42 minutes and 0 seconds
Dataset: KuHar 	 Iteration: 77 	 Time of execution: 42 minutes and 49 seconds
Dataset: KuHar 	 Iteration: 78 	 Time of execution: 43 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 79 	 Time of execution: 44 minutes and 26 seconds
Dataset: KuHar 	 Iteration: 80 	 Time of execution: 45 minutes and 15 seconds
Dataset: KuHar 	 Iteration: 81 	 Time of execution: 46 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 82 	 Time of execution: 46 minutes and 57 seconds
Dataset: KuHar 	 Iteration: 83 	 Time of execution: 47 minutes and 49 seconds
Dataset: KuHar 	 Iteration: 84 	 Time of execution: 48 minutes and 41 seconds
Dataset: KuHar 	 Iteration: 85 	 Time of execution: 49 minutes and 33 seconds
Dataset: KuHar 	 Iteration: 86 	 Time of execution: 50 minutes and 25 seconds
Dataset: KuHar 	 Iteration: 87 	 Time of execution: 51 minutes and 18 seconds
Dataset: KuHar 	 Iteration: 88 	 Time of execution: 52 minutes and 12 seconds
Dataset: KuHar 	 Iteration: 89 	 Time of execution: 53 minutes and 5 seconds
Dataset: KuHar 	 Iteration: 90 	 Time of execution: 53 minutes and 58 seconds
Dataset: KuHar 	 Iteration: 91 	 Time of execution: 54 minutes and 53 seconds
Dataset: KuHar 	 Iteration: 92 	 Time of execution: 55 minutes and 47 seconds
Dataset: KuHar 	 Iteration: 93 	 Time of execution: 56 minutes and 43 seconds
Dataset: KuHar 	 Iteration: 94 	 Time of execution: 57 minutes and 38 seconds
Dataset: KuHar 	 Iteration: 95 	 Time of execution: 58 minutes and 34 seconds
Dataset: KuHar 	 Iteration: 96 	 Time of execution: 59 minutes and 27 seconds
Dataset: KuHar 	 Iteration: 97 	 Time of execution: 60 minutes and 21 seconds
Dataset: KuHar 	 Iteration: 98 	 Time of execution: 61 minutes and 16 seconds
Dataset: KuHar 	 Iteration: 99 	 Time of execution: 62 minutes and 11 seconds
Dataset: KuHar 	 Iteration: 100 	 Time of execution: 63 minutes and 8 seconds
Dataset: KuHar 	 Iteration: 101 	 Time of execution: 64 minutes and 6 seconds
Dataset: KuHar 	 Iteration: 102 	 Time of execution: 65 minutes and 4 seconds
Dataset: KuHar 	 Iteration: 103 	 Time of execution: 66 minutes and 3 seconds
Dataset: KuHar 	 Iteration: 104 	 Time of execution: 67 minutes and 1 seconds
Dataset: KuHar 	 Iteration: 105 	 Time of execution: 67 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 106 	 Time of execution: 68 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 107 	 Time of execution: 69 minutes and 58 seconds
Dataset: KuHar 	 Iteration: 108 	 Time of execution: 70 minutes and 59 seconds
Dataset: KuHar 	 Iteration: 109 	 Time of execution: 71 minutes and 59 seconds
