,Classifier,Dataset,Umap dimension - 1,Umap dimension - 2,Umap dimension - 3,Umap dimension - 4,Umap dimension - 5,Umap dimension - 6,Umap dimension - 7,Umap dimension - 8,Umap dimension - 9,Umap dimension - 10,Umap dimension - 360,Umap dimension - Max,Umap dimension - Max score,Umap dimension - Best dimension - 1:10,Lost %
0,RandomForest,KuHar,0.38159965461547596,0.4075805155910155,0.4604036585495336,0.4320841186716242,0.42550311971414584,0.41913068809345716,0.48583846097928873,0.47595484323902115,0.44060224605986126,0.44170294476857686,0.8382025631410788,7,0.48583846097928873,7,0.35236410216179004
1,SVC,KuHar,0.4393823478251653,0.4153150729634747,0.39530006276702034,0.40507961016962846,0.4164255588275197,0.3916591173697902,0.42474052110558075,0.41360965336153044,0.4090573770491803,0.40912703785152305,0.6196088802796555,347,0.44168722981311787,1,0.17792165046653768
2,KNN,KuHar,0.3815996546154759,0.42536363920643727,0.48717050548629226,0.44341104502819645,0.4560571793316298,0.4690661947695196,0.4992964826425604,0.4539002585347077,0.44803734782984256,0.44394531183059877,0.5012001048111783,268,0.5007881024324468,7,0.000412002378731513
3,RandomForest,RealWorld,0.43934487616348283,0.5122938990444573,0.5746141036203858,0.5664499457224403,0.5820532174605342,0.600887901850321,0.578743898408124,0.594376118472919,0.5820903384189932,0.5962490092637258,0.7846825505481217,33,0.605236336920205,6,0.1794462136279168
4,SVC,RealWorld,0.5076264963588115,0.5635073933385294,0.6120011695269106,0.6617926341341491,0.6469295894723897,0.6598947188299437,0.6711761105380043,0.6569057741874887,0.6515919809749042,0.6445617957767792,0.681181541970241,7,0.6711761105380043,7,0.010005431432236644
5,KNN,RealWorld,0.43924018651028407,0.4644443930140137,0.5105000716650454,0.529421683939596,0.5164330952783583,0.526800095098308,0.5300414379002395,0.5406725198901116,0.526139422365902,0.5291242561100122,0.671116707004818,118,0.5576736132409641,8,0.11344309376385386
6,RandomForest,MotionSense,0.5371720115868185,0.6173689981124537,0.6598206342490037,0.66350081648341,0.6732067469509813,0.6845905470344043,0.6816110114318867,0.6883647704517329,0.6869918017153738,0.7050663665110635,0.8321304275479371,20,0.7144903482514537,10,0.11764007929648335
7,SVC,MotionSense,0.588500529872766,0.6435292376544384,0.6642726829817692,0.6525244416154147,0.6797793056539064,0.7030266954562847,0.7122553834145731,0.7044063512015454,0.7031196863255539,0.7036056644632324,0.6828937695405545,30,0.7157590040029091,7,-0.032865234462354675
8,KNN,MotionSense,0.5369512412801749,0.5894898166542165,0.6149617540058043,0.6490212984064683,0.6436903746429569,0.6434607052234113,0.6399744913537739,0.6536359264895595,0.656380806584278,0.6605249410766826,0.6668037865356113,326,0.6806316412666665,10,-0.01382785473105519
9,RandomForest,WISDM,0.4552412941623709,0.5014419452234653,0.49384584148761723,0.49089889258938924,0.5108042783305698,0.5096761703021194,0.5119970645262175,0.48369983362121405,0.5110071001516747,0.5153766400032884,0.6975199235194477,10,0.5153766400032884,10,0.18214328351615927
10,SVC,WISDM,0.51214595107023,0.5260794934707707,0.515106989116523,0.5200465341081598,0.517915536107481,0.5163395458998937,0.5253672717901403,0.5154051759975695,0.5156463758157992,0.5201142611669467,0.5538635818896983,2,0.5260794934707707,2,0.027784088418927655
11,KNN,WISDM,0.45513171448618606,0.48757393458234316,0.4829750979512713,0.47300490367023024,0.4892414712466687,0.4755049972233331,0.47903540813248136,0.482138698793743,0.5001755127548072,0.462432415452496,0.4723370422694673,353,0.5030363659630308,9,-0.030699323693563485
12,RandomForest,UCI,0.4068681016392577,0.4815709378461944,0.49163509813657447,0.5259208078876332,0.5189244373633194,0.5421549961022003,0.5437247266450428,0.5442427432844071,0.545185509748032,0.5527357987681284,0.8645883314569538,246,0.5576636390845972,10,0.30692469237235664
13,SVC,UCI,0.44927735217413106,0.44744288354638445,0.4128956203084466,0.41791470596900326,0.4042763708135907,0.4486403358300519,0.4460354695200732,0.4330595253750822,0.4368921900919938,0.4266743774222412,0.6828844152380011,12,0.45974099495348053,1,0.2231434202845206
14,KNN,UCI,0.40701661646078696,0.47515084663216567,0.5378940320583128,0.5404552728019252,0.5784650763782571,0.5649823928057549,0.5542089709126646,0.576645136956864,0.5806095760973351,0.5825744168626702,0.7190171958623948,194,0.6127394060286164,10,0.10627778983377834
