,execution_id,classification_time,load_time,reduce_time,transform_time,reduce_on,classifier,reducer,transforms,number runs,reducer_datasets,train_datasets,test_datasets,umap components,use accel-x,use accel-y,use accel-z,use gyro-x,use gyro-y,use gyro-z,kuhar - reduce,motionsense - reduce,wisdm - reduce,uci - reduce,realworld - reduce,extrasensory - reduce,kuhar - train,motionsense - train,wisdm - train,uci - train,realworld - train,extrasensory - train,kuhar - test,motionsense - test,wisdm - test,uci - test,realworld - test,extrasensory - test,accuracy (mean),accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score micro (mean),f1-score micro (std),f1-score weighted (mean),f1-score weighted (std)
0,9720,10.684672832489014,10.521201133728027,79.7812192440033,2.956390380859375e-05,all,randomforest-100,umap-4-all,with_fft_all.0,5,kuhar,"kuhar, motionsense",kuhar,4,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.6317261904761905,0.004689176759816919,0.6194641595577164,0.0049181659145968665,0.6317261904761905,0.004689176759816919,0.6194641595577164,0.004918165914596831
1,418,35.737043380737305,41.91108775138855,142.1875147819519,2.4318695068359375e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"wisdm, realworld",wisdm,motionsense,2,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0.46173428798727123,0.0027718777072687937,0.3931742608273515,0.0020102409218101724,0.46173428798727123,0.0027718777072688145,0.45870330429857675,0.0023452810754452124
2,2932,26.5771324634552,27.851636171340942,138.9110128879547,3.0040740966796875e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,"motionsense, wisdm","kuhar, realworld",motionsense,2,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0.3304693715194908,0.00306981406230306,0.29853447021355695,0.003733217475083029,0.3304693715194908,0.00306981406230306,0.29853447021355695,0.0037332174750830264
3,692,28.445082664489746,24.85633873939514,443.7970268726349,2.4318695068359375e-05,all,randomforest-100,umap-2-all,no_transform.0,5,kuhar,realworld,extrasensory,2,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.27241985770245425,0.0043759706741756275,0.10626386399630057,0.0006252406293281687,0.27241985770245425,0.0043759706741756275,0.4126867631642777,0.005083539753587489
4,953,48.92387914657593,17.97890043258667,118.83146047592163,2.7179718017578125e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"motionsense, wisdm","kuhar, wisdm",motionsense,2,False,False,False,True,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0.5011933174224343,0.0012324529343539844,0.39773056794776684,0.00084604910128522,0.5011933174224343,0.0012324529343539844,0.46401899593906126,0.0009870572848327676
5,1857,10.786418676376343,33.03899669647217,109.83281993865967,2.7418136596679688e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,"wisdm, realworld",kuhar,motionsense,2,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,0.3822195704057279,0.009030749293694565,0.3733430511984964,0.008979073121574392,0.3822195704057279,0.009030749293694582,0.3733430511984964,0.008979073121574392
6,1171,28.86015224456787,21.486730813980103,194.137708902359,2.3126602172851562e-05,all,randomforest-100,umap-2-all,no_transform.0,5,kuhar,"kuhar, realworld",uci,2,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0.3633802816901409,0.0021705683109045663,0.3024142349937081,0.0017666681854833176,0.36338028169014086,0.0021705683109045732,0.36289708199244974,0.0021200018225800157
7,9429,22.649194717407227,17.9450843334198,137.91122961044312,2.5033950805664062e-05,all,randomforest-100,umap-4-all,with_fft_all.0,5,realworld,wisdm,wisdm,4,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.6201895235588314,0.0012986466315919084,0.6227446127575217,0.0013106061655981816,0.6201895235588314,0.0012986466315919084,0.6213523853275333,0.0013238363707646363
8,12401,21.87657642364502,19.195185899734497,122.46512699127197,2.0742416381835938e-05,all,randomforest-100,umap-5-all,no_transform.0,5,realworld,"motionsense, realworld",extrasensory,5,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,0.1805500039971221,0.001351949358484905,0.09399658522844764,0.0004681377675704323,0.1805500039971221,0.0013519493584848972,0.2961666241597844,0.0018826919377605612
9,6330,26.70255136489868,11.708319425582886,210.26870799064636,5.459785461425781e-05,all,randomforest-100,umap-3-all,with_fft_all.0,5,kuhar,"kuhar, wisdm",motionsense,3,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0.38568019093078754,0.002002340962395119,0.32230818669968014,0.0018657503789959733,0.38568019093078754,0.0020023409623951345,0.37602621781629353,0.0021767087754953115
