,execution_id,classification_time,load_time,reduce_time,transform_time,reduce_on,classifier,reducer,transforms,number runs,reducer_datasets,train_datasets,test_datasets,umap components,use accel-x,use accel-y,use accel-z,use gyro-x,use gyro-y,use gyro-z,kuhar - reduce,motionsense - reduce,wisdm - reduce,uci - reduce,realworld - reduce,extrasensory - reduce,kuhar - train,motionsense - train,wisdm - train,uci - train,realworld - train,extrasensory - train,kuhar - test,motionsense - test,wisdm - test,uci - test,realworld - test,extrasensory - test,accuracy (mean),accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score micro (mean),f1-score micro (std),f1-score weighted (mean),f1-score weighted (std)
10,7151,23.688889980316162,12.819039106369019,109.96870255470276,2.5033950805664062e-05,all,randomforest-100,umap-3-all,with_fft_all.0,5,realworld,"wisdm, realworld",realworld,3,False,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0.5619678714859437,0.0023117674279279324,0.4923343698698339,0.002289211096179988,0.5619678714859437,0.0023117674279279324,0.5743900981814729,0.002670746278876701
11,8471,28.89006280899048,16.339831829071045,107.4444694519043,2.5272369384765625e-05,all,randomforest-100,umap-4-all,no_transform.0,5,realworld,"motionsense, wisdm",kuhar,4,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,0.33363095238095236,0.001947074670690025,0.2774543951652665,0.0013413171563837975,0.33363095238095236,0.001947074670690025,0.3236967943594776,0.00156487001578105
12,736,18.83816885948181,26.982571125030518,102.98740458488464,2.7179718017578125e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, wisdm","kuhar, motionsense",kuhar,2,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.6333333333333333,0.004493949068613525,0.6308458443725254,0.004603851346139652,0.6333333333333333,0.004493949068613525,0.6308458443725254,0.004603851346139661
13,111,19.05563497543335,107.2654881477356,163.5453794002533,2.47955322265625e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"motionsense, wisdm",kuhar,uci,2,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.418169014084507,0.002857107433112784,0.3586625363320091,0.002354159248492834,0.418169014084507,0.002857107433112771,0.43039504359841085,0.0028249910981914127
14,5837,14.98927092552185,9.670633792877197,80.75583600997925,2.8133392333984375e-05,all,randomforest-100,umap-3-all,with_fft_all.0,5,"kuhar, wisdm",wisdm,wisdm,3,False,False,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.7663727296657015,0.001146927608793601,0.7678283055811737,0.001150071240713014,0.7663727296657015,0.001146927608793601,0.766787169295487,0.0011537706004877456
15,9013,3.568333625793457,13.966957807540894,50.85494923591614,2.5033950805664062e-05,all,randomforest-100,umap-4-all,with_fft_all.0,5,"kuhar, motionsense",kuhar,kuhar,4,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.7836309523809524,0.001205265281625983,0.7841022690919027,0.001213278801420027,0.7836309523809524,0.001205265281625994,0.7841022690919027,0.001213278801419925
16,5031,50.56526589393616,11.851951599121094,129.54513812065125,2.6226043701171875e-05,all,randomforest-100,umap-3-all,no_transform.0,5,"motionsense, wisdm","motionsense, wisdm",extrasensory,3,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0.7822208010232633,0.0007433357548075037,0.13442931932036944,0.00022243861289769311,0.7822208010232633,0.0007433357548075447,0.7934055071040801,0.0003269384363024513
17,12670,4.487585544586182,10.132661819458008,87.73346877098083,2.5272369384765625e-05,all,randomforest-100,umap-5-all,with_fft_all.0,5,realworld,kuhar,wisdm,5,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0.30110555409318246,0.0015873492911949263,0.2479270558597207,0.000637908431769641,0.30110555409318246,0.0015873492911949263,0.34762334928063343,0.0008837991073743012
18,9031,4.018827676773071,11.202072620391846,82.97386837005615,2.0742416381835938e-05,all,randomforest-100,umap-4-all,with_fft_all.0,5,kuhar,kuhar,motionsense,4,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.2782816229116945,0.0036573443162999605,0.24856702702837885,0.002891040637532539,0.2782816229116945,0.0036573443162999605,0.24856702702837885,0.0028910406375325633
19,2122,11.264211177825928,49.16468667984009,147.9219400882721,2.6941299438476562e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,"motionsense, wisdm",motionsense,realworld,2,True,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.3655421686746988,0.00199736120494912,0.2985671630256274,0.002006708592546622,0.3655421686746988,0.0019973612049490864,0.29856716302562736,0.0020067085925466106
20,2830,44.05848455429077,18.38372015953064,143.08790111541748,2.574920654296875e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,realworld,"kuhar, wisdm",realworld,2,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,0.37616465863453813,0.001803431977455247,0.28278753223645087,0.0015178248724965378,0.3761646586345381,0.0018034319774552516,0.3299187876091927,0.001770795684579299
21,1348,18.748539447784424,21.628406763076782,175.21403217315674,2.86102294921875e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"wisdm, realworld","motionsense, wisdm",wisdm,2,True,True,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,0.6695972624374835,0.0013623118420773056,0.48758257402181615,0.0009941578962991938,0.6695972624374835,0.0013623118420773056,0.6809374999569142,0.0013940556246026135
22,822,28.102617502212524,32.683268785476685,64.2704164981842,2.86102294921875e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, motionsense","kuhar, motionsense",uci,2,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,0.34105633802816904,0.0032925830218481535,0.25347376181529546,0.0019111193992427736,0.34105633802816904,0.0032925830218481535,0.3041685141783546,0.002293343279091335
23,2524,27.479722499847412,13.849002122879028,70.7572968006134,2.6464462280273438e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,motionsense,"kuhar, motionsense",kuhar,2,True,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.3806547619047619,0.002243029009692481,0.3750614877305504,0.0025331916843862805,0.3806547619047619,0.002243029009692481,0.3750614877305505,0.002533191684386294
24,3508,29.935235738754272,16.644441843032837,62.880271196365356,2.4557113647460938e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,"wisdm, realworld","wisdm, realworld",wisdm,2,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.6350881811002894,0.0012328195869804079,0.4647550921872556,0.0009095703802037202,0.6350881811002894,0.0012328195869804079,0.6489038924784125,0.001283543714618557
25,7728,26.183286428451538,9.77531385421753,216.45852518081665,2.6464462280273438e-05,all,randomforest-100,umap-4-all,no_transform.0,5,"kuhar, realworld",wisdm,extrasensory,4,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.47749620273403154,0.002804715362624422,0.15508489925769392,0.0005892317948163444,0.47749620273403154,0.002804715362624422,0.6098214562844845,0.002134414519170084
26,643,13.030045986175537,26.919836282730103,140.668705701828,2.3365020751953125e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, motionsense",realworld,uci,2,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.36,0.0023420125561008265,0.31784035083322515,0.00225838077880836,0.36000000000000004,0.0023420125561008434,0.3814084209998702,0.0027100569345700227
27,11076,15.8007173538208,9.087518692016602,49.927173137664795,2.384185791015625e-05,all,randomforest-100,umap-5-all,no_transform.0,5,wisdm,motionsense,uci,5,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.37246478873239436,0.002785030976519037,0.362855073566157,0.0029565315839934084,0.37246478873239436,0.0027850309765190587,0.362855073566157,0.002956531583993397
28,13291,12.45162320137024,12.372974157333374,256.5167889595032,2.1219253540039062e-05,all,randomforest-100,umap-5-all,with_fft_all.0,5,kuhar,realworld,extrasensory,5,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.025165880565992484,0.0027256269605051195,0.03997675883764405,0.004017967845267247,0.025165880565992484,0.0027256269605051195,0.027433557805076014,0.0024094895260940727
29,2282,24.217400312423706,37.66240954399109,433.16026496887207,2.5510787963867188e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,kuhar,wisdm,realworld,2,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.2619678714859438,0.001660000215698039,0.19850682770480835,0.0013501614404877794,0.2619678714859438,0.001660000215698039,0.2315912989889431,0.001575188347235726
30,6544,17.165846347808838,14.543764591217041,112.28890562057495,2.3365020751953125e-05,all,randomforest-100,umap-3-all,with_fft_all.0,5,motionsense,"kuhar, realworld",wisdm,3,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0.3793761516188471,0.0012875279917236723,0.25409553258599205,0.0008604811997096945,0.3793761516188471,0.001287527991723671,0.35515058197314237,0.0012182832447723705
31,3270,26.85256028175354,33.290555477142334,207.61495184898376,3.075599670410156e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,kuhar,"motionsense, realworld",motionsense,2,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,0.41793953858392996,0.0023417957087565663,0.4243796898684944,0.0023243950914500757,0.41793953858393007,0.0023417957087565784,0.4243796898684944,0.0023243950914500363
32,11560,12.062124729156494,10.652292728424072,102.91542840003967,2.5510787963867188e-05,all,randomforest-100,umap-5-all,no_transform.0,5,realworld,"kuhar, motionsense",motionsense,5,True,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,0.6818615751789976,0.003338920250029165,0.6831431666213346,0.0032055782686601694,0.6818615751789976,0.003338920250029165,0.6831431666213346,0.0032055782686601694
33,1274,39.90223813056946,17.28940486907959,138.84842681884766,2.765655517578125e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, motionsense","motionsense, wisdm",kuhar,2,False,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,0.24821428571428572,0.001540735607802945,0.20421541815742414,0.0018552488390354857,0.24821428571428572,0.001540735607802945,0.23825132118366152,0.0021644569788747377
34,8734,21.048476696014404,10.342941999435425,78.93911385536194,2.2649765014648438e-05,all,randomforest-100,umap-4-all,no_transform.0,5,motionsense,"motionsense, realworld",uci,4,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0.40225352112676055,0.004892212516326323,0.34618940129253145,0.004293846904296678,0.40225352112676055,0.004892212516326323,0.4154272815510378,0.005152616285156003
35,8976,43.74603867530823,11.382050514221191,179.06396579742432,2.5033950805664062e-05,all,randomforest-100,umap-4-all,no_transform.0,5,wisdm,"wisdm, realworld",extrasensory,4,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0.5801742745223439,0.003320008726873307,0.12265464515167332,0.0015451124128251826,0.5801742745223439,0.003320008726873307,0.6831736133273709,0.0022398787886551957
36,1810,10.789914608001709,26.27143096923828,72.69157266616821,3.0279159545898438e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,realworld,kuhar,kuhar,2,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,0.56875,0.004398322190931214,0.5698027637543099,0.004280121585141112,0.56875,0.004398322190931214,0.5698027637543099,0.004280121585141112
37,5230,30.52572798728943,11.544250965118408,123.43686151504517,2.6702880859375e-05,all,randomforest-100,umap-3-all,no_transform.0,5,realworld,"wisdm, realworld",kuhar,3,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,0.40755952380952387,0.002494324623780582,0.3336967672345007,0.0012799503367902857,0.40755952380952387,0.0024943246237805936,0.38931289510691747,0.001493275392922035
38,7533,6.245085716247559,17.226267099380493,92.6832685470581,2.3365020751953125e-05,all,randomforest-100,umap-4-all,no_transform.0,5,motionsense,motionsense,extrasensory,4,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.6791829882484611,0.028625415882218667,0.14472020857206333,0.006141654055237556,0.6791829882484611,0.028625415882218667,0.7286283294388234,0.017648356066882906
39,1249,13.24861454963684,19.474614143371582,138.21015286445618,2.6464462280273438e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, realworld","kuhar, realworld",extrasensory,2,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,0.06632824366456151,0.00517392520623877,0.026284196653599552,0.0018930635332122532,0.06632824366456151,0.00517392520623877,0.1205299574879877,0.008761944153687553
40,3750,4.37962532043457,16.16277551651001,280.0454590320587,3.218650817871094e-05,all,randomforest-100,umap-3-all,no_transform.0,5,kuhar,kuhar,extrasensory,3,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.2595731073626989,0.05332624657975538,0.07658817730924795,0.012082724232321264,0.2595731073626989,0.05332624657975538,0.3887377721000278,0.06192536425913418
41,560,25.89354181289673,29.31737732887268,102.17924642562866,3.24249267578125e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, realworld",realworld,kuhar,2,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0.41875,0.0018823081310526,0.4110354883276889,0.00433465146573796,0.41875,0.0018823081310526087,0.4110354883276888,0.004334651465737956
42,10004,30.503025770187378,12.253804206848145,89.5864040851593,2.1696090698242188e-05,all,randomforest-100,umap-4-all,with_fft_all.0,5,"kuhar, motionsense","kuhar, wisdm",uci,4,False,False,False,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.32514084507042257,0.004774211621599513,0.25266748564696445,0.0038311818919335985,0.32514084507042257,0.004774211621599513,0.3537344799057502,0.005363654648707001
43,496,29.072861909866333,50.81799626350403,163.63615608215332,2.3126602172851562e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, wisdm",wisdm,realworld,2,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.35373493975903614,0.0012957643216788448,0.29744804201454567,0.0008258240996851432,0.35373493975903614,0.001295764321678851,0.3470227156836366,0.0009634614496326628
44,13428,18.627055644989014,14.204351663589478,64.78455591201782,2.956390380859375e-05,all,randomforest-100,umap-5-all,with_fft_all.0,5,"kuhar, realworld","kuhar, motionsense",uci,5,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,0.405774647887324,0.0030744901342173304,0.3402201808138322,0.002588217130150599,0.405774647887324,0.003074490134217346,0.40826421697659876,0.0031058605561807206
45,5505,2.3914897441864014,12.538468837738037,100.25929188728333,2.7179718017578125e-05,all,randomforest-100,umap-3-all,with_fft_all.0,5,"kuhar, wisdm",kuhar,uci,3,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.3977464788732394,0.0032925830218481678,0.3223797229902525,0.0029925633469968815,0.3977464788732394,0.0032925830218481678,0.38685566758830303,0.0035910760163962393
46,11311,21.65317988395691,19.41360831260681,338.02423667907715,2.384185791015625e-05,all,randomforest-100,umap-5-all,no_transform.0,5,kuhar,wisdm,extrasensory,5,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.051394995603165725,0.013297684438266203,0.02870881642101138,0.005452381680288754,0.05139499560316572,0.013297684438266203,0.09407240611450123,0.02364596626805007
47,615,10.853193044662476,38.254411697387695,193.6609170436859,2.7179718017578125e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, wisdm",realworld,wisdm,2,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.3813371939984206,0.003054853035096298,0.25356333965672306,0.0031512834207785834,0.3813371939984206,0.003054853035096298,0.3541881782761814,0.004441425334589158
48,1981,10.340291023254395,30.475076913833618,167.4104619026184,2.5272369384765625e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,kuhar,motionsense,kuhar,2,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.3799404761904762,0.0023022713816444997,0.3344594882958018,0.002526968645911905,0.3799404761904762,0.0023022713816445136,0.33445948829580185,0.0025269686459119234
49,1155,34.635668992996216,38.71507000923157,148.83217930793762,2.7418136596679688e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, wisdm","kuhar, realworld",wisdm,2,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0.3205448802316399,0.0023584184492915633,0.23514733463805754,0.0014486751919457791,0.3205448802316399,0.0023584184492915633,0.32922659346877126,0.002044770321580717
50,867,39.80984282493591,29.72476053237915,169.15023684501648,3.123283386230469e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"wisdm, realworld","kuhar, motionsense",realworld,2,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,0.4479116465863454,0.015380582352793814,0.4392496454997401,0.01243963988309516,0.4479116465863454,0.015380582352793819,0.4392496454997401,0.012439639883095153
51,11388,21.628467559814453,14.099117040634155,70.81357073783875,3.1948089599609375e-05,all,randomforest-100,umap-5-all,no_transform.0,5,"kuhar, realworld",realworld,motionsense,5,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0.3660700079554495,0.0022096968038712982,0.32334220993540397,0.0021690254946723406,0.3660700079554495,0.0022096968038712982,0.32334220993540397,0.0021690254946723445
52,4090,18.33978271484375,13.123842716217041,137.16700315475464,2.9325485229492188e-05,all,randomforest-100,umap-3-all,no_transform.0,5,realworld,wisdm,realworld,3,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.3650200803212852,0.001300733714112575,0.25944235126178317,0.0011822600625417117,0.3650200803212852,0.001300733714112575,0.3026827431387471,0.0013793034062986795
53,6192,7.996247053146362,13.454150676727295,94.85707116127014,2.7418136596679688e-05,all,randomforest-100,umap-3-all,with_fft_all.0,5,"kuhar, motionsense","kuhar, motionsense",wisdm,3,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,0.324690708081074,0.0010454791844293372,0.23876953252075098,0.0007969449642363922,0.324690708081074,0.0010454791844293372,0.33446335410349803,0.0011305448541729173
54,1987,5.705691337585449,34.83767127990723,93.854727268219,2.5272369384765625e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,wisdm,motionsense,kuhar,2,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.3805952380952381,0.0025070761534110387,0.3576860711929515,0.002094974731359913,0.3805952380952381,0.0025070761534110387,0.35768607119295154,0.0020949747313598827
55,2233,24.58372187614441,37.24772238731384,190.11766958236694,2.5272369384765625e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,"kuhar, motionsense",wisdm,wisdm,2,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5447749407738879,0.0014469116243549915,0.5469415271076128,0.0014075447839001765,0.5447749407738879,0.0014469116243549915,0.546276299137854,0.0014012865384917391
56,478,30.323704719543457,44.444544553756714,126.58495688438416,2.6702880859375e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"wisdm, realworld",wisdm,uci,2,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.24485915492957747,0.0012318912453898505,0.16246219602038142,0.0008250211686902679,0.24485915492957747,0.0012318912453898505,0.227447074428534,0.0011550296361663738
57,1486,34.4072687625885,17.02038288116455,136.50737524032593,2.6226043701171875e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, wisdm","motionsense, realworld",motionsense,2,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,0.5953858392999204,0.0013927717899770537,0.5937032110690422,0.0011938128410535832,0.5953858392999204,0.0013927717899770537,0.5937032110690422,0.0011938128410536135
58,107,18.397183179855347,32.5004665851593,183.1138505935669,3.0279159545898438e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"kuhar, wisdm",kuhar,uci,2,False,False,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.361056338028169,0.0024957810065731447,0.32228033602021255,0.0015224832850528084,0.361056338028169,0.0024957810065731447,0.3867364032242552,0.001826979942063347
59,12460,43.874645471572876,13.230167865753174,116.68987274169922,2.765655517578125e-05,all,randomforest-100,umap-5-all,no_transform.0,5,realworld,"wisdm, realworld",motionsense,5,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,0.4170644391408114,0.00302934491084484,0.3615654452801824,0.002785845264189188,0.4170644391408114,0.00302934491084484,0.4218263528268794,0.0032501528082207187
60,7666,20.855257272720337,21.3554265499115,64.28864479064941,2.8848648071289062e-05,all,randomforest-100,umap-4-all,no_transform.0,5,"kuhar, wisdm",wisdm,uci,4,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.2557042253521127,0.0024536973788992006,0.17736892564012421,0.0016312960689776343,0.2557042253521127,0.0024536973788992006,0.24831649589617383,0.0022838144965686897
61,3012,30.363574028015137,23.4538357257843,147.3093512058258,2.8371810913085938e-05,all,randomforest-100,umap-2-all,with_fft_all.0,5,"kuhar, motionsense","kuhar, realworld",realworld,2,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.43610441767068275,0.0009105047428718561,0.4381873281355563,0.0008560336321181611,0.43610441767068275,0.0009105047428718619,0.43818732813555633,0.0008560336321181582
62,389,28.599525928497314,26.99148654937744,187.98918533325195,2.2411346435546875e-05,all,randomforest-100,umap-2-all,no_transform.0,5,"wisdm, realworld",wisdm,kuhar,2,False,False,False,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0.24154761904761904,0.001440918861536924,0.198580813136203,0.0014388379647242073,0.24154761904761904,0.001440918861536924,0.23167761532557013,0.001678644292178251
